City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,winnemucca,40.973,-117.7357,10.25,48,0,3.63,US,1715273070
1,lihue,21.9789,-159.3672,20.77,86,75,2.06,US,1715272805
2,puerto natales,-51.7236,-72.4875,1.25,93,75,1.03,CL,1715273070
3,port mathurin,-19.6833,63.4167,25.61,75,100,11.24,MU,1715273070
4,bethel,41.3712,-73.414,19.7,58,0,6.17,US,1715273071
5,blackmans bay,-43.0167,147.3167,12.07,96,100,0.52,AU,1715273071
6,port elizabeth,-33.918,25.5701,18.16,92,20,5.14,ZA,1715273022
7,dalnegorsk,44.5604,135.5701,5.15,54,54,1.79,RU,1715273071
8,yellowknife,62.456,-114.3525,15.23,45,40,6.17,CA,1715273071
9,kerema,-7.9631,145.7785,24.73,88,100,1.93,PG,1715273071
10,antalya,36.7741,30.7178,22.33,63,40,1.54,TR,1715272684
11,atafu village,-8.5421,-172.5159,29.05,73,85,1.91,TK,1715273072
12,edinburgh of the seven seas,-37.0676,-12.3116,12.86,58,31,7.24,SH,1715273072
13,alofi,-19.0595,-169.9187,22.94,94,75,4.12,NU,1715273072
14,nar'yan-mar,67.6713,53.087,-1.61,95,100,11.62,RU,1715273073
15,cockburn town,21.4612,-71.1419,25.38,72,75,4.97,TC,1715273067
16,gao,16.6362,1.637,43.86,5,0,3.83,ML,1715273073
17,timaru,-44.4,171.25,2.31,54,1,3.59,NZ,1715273073
18,nouadhibou,20.931,-17.0347,22.99,68,20,7.72,MR,1715273073
19,udachny,66.4167,112.4,-7.53,87,85,2.71,RU,1715273074
20,dryden,49.7833,-92.7503,10.16,46,0,3.09,CA,1715272973
21,adamstown,-25.066,-130.1015,21.34,78,53,2.64,PN,1715272957
22,grytviken,-54.2811,-36.5092,-0.23,72,51,1.63,GS,1715273074
23,bilibino,68.0546,166.4372,-6.63,97,62,1.19,RU,1715273075
24,port-aux-francais,-49.35,70.2167,5.25,85,61,13.11,TF,1715273075
25,polyarnyy,69.1989,33.4478,-2.36,81,85,3.4,RU,1715273075
26,college,64.8569,-147.8028,7.47,70,75,1.54,US,1715273075
27,mugia,43.1041,-9.2179,19.95,63,99,2.57,ES,1715273075
28,kayan,16.9056,96.5631,30.08,62,1,3.54,MM,1715273076
29,waitangi,-43.9535,-176.5597,9.9,93,98,1.79,NZ,1715273076
30,antsiranana,-12.2787,49.2917,25.51,68,5,6.66,MG,1715273076
31,barabai,-2.5833,115.3833,23.86,96,90,0.93,ID,1715273076
32,coquimbo,-29.9533,-71.3436,14.85,82,40,5.14,CL,1715272885
33,sinabang,2.4803,96.3801,27.15,85,96,1.03,ID,1715273077
34,aasiaat,68.7098,-52.8699,-5.45,78,52,3.11,GL,1715273077
35,porto novo,6.4965,2.6036,31.9,70,99,4.36,BJ,1715273077
36,badger,64.8,-147.5333,6.71,69,75,1.54,US,1715272874
37,acapulco de juarez,16.8634,-99.8901,26.9,74,0,0.0,MX,1715273078
